timestamp,symbol,price,sma_fast,sma_slow,rsi,macd,macd_signal,bb_upper,bb_mid,bb_lower,signal
2026-07-19T08:45:52,R_100,543.67,543.528,543.1685,84.4,0.26785,0.24346,543.7563,543.1685,542.5807,
2026-07-19T08:45:52,R_100,543.72,543.6,543.2134999999998,85.09,0.27546,0.24986,543.8262,543.2135,542.6008,
2026-07-19T08:45:52,R_100,543.72,543.658,543.262,83.0,0.27828,0.25554,543.8738,543.262,542.6502,
2026-07-19T08:45:52,R_100,543.62,543.6719999999999,543.308,71.28,0.26935,0.2583,543.8789,543.308,542.7371,
2026-07-19T08:45:52,R_100,543.54,543.654,543.3449999999999,67.68,0.25289,0.25722,543.8714,543.345,542.8186,
2026-07-19T08:45:52,R_100,543.59,543.638,543.3745000000001,68.93,0.24111,0.254,543.8854,543.3745,542.8636,
2026-07-19T08:45:52,R_100,543.32,543.5580000000001,543.3945,53.54,0.20759,0.24472,543.8598,543.3945,542.9292,
2026-07-19T08:45:52,R_100,543.42,543.498,543.4195000000001,56.93,0.18694,0.23316,543.8277,543.4195,543.0113,
2026-07-19T08:45:52,R_100,543.57,543.488,543.4449999999999,62.0,0.1806,0.22265,543.821,543.445,543.069,
2026-07-19T08:45:52,R_100,543.52,543.484,543.46,51.56,0.16958,0.21203,543.8219,543.46,543.0981,
2026-07-19T08:45:52,R_100,543.5,543.466,543.4755,55.93,0.15742,0.20111,543.8146,543.4755,543.1364,PUT
2026-07-19T08:45:52,R_100,543.64,543.53,543.4975,58.4,0.15727,0.19234,543.8179,543.4975,543.1771,CALL
2026-07-19T08:45:52,R_100,543.54,543.554,543.5130000000001,49.59,0.14738,0.18335,543.8079,543.513,543.2181,
2026-07-19T08:45:52,R_100,543.34,543.508,543.5184999999999,39.26,0.122,0.17108,543.7947,543.5185,543.2423,PUT
2026-07-19T08:45:52,R_100,543.39,543.482,543.5274999999999,39.71,0.10471,0.15781,543.7711,543.5275,543.2839,
2026-07-19T08:45:52,R_100,543.62,543.506,543.5345,46.75,0.10832,0.14791,543.7804,543.5345,543.2886,
2026-07-19T08:45:52,R_100,543.74,543.5260000000001,543.5535,50.6,0.11949,0.14222,543.8014,543.5535,543.3056,
2026-07-19T08:45:52,R_100,543.76,543.57,543.5699999999999,54.43,0.12847,0.13947,543.827,543.57,543.313,CALL
2026-07-19T08:45:52,R_100,543.99,543.7,543.592,63.01,0.15239,0.14206,543.9099,543.592,543.2741,
2026-07-19T08:45:52,R_100,543.91,543.804,543.606,59.09,0.16301,0.14625,543.9542,543.606,543.2578,
2026-07-19T08:45:52,R_100,543.86,543.8520000000001,543.6155000000001,67.53,0.16549,0.1501,543.981,543.6155,543.25,
2026-07-19T08:45:52,R_100,543.87,543.8779999999999,543.6230000000002,65.52,0.16634,0.15335,544.0034,543.623,543.2426,
2026-07-19T08:45:52,R_100,543.79,543.884,543.6265000000001,57.97,0.15873,0.15442,544.0119,543.6265,543.2411,
2026-07-19T08:45:52,R_100,543.92,543.87,543.6415000000002,63.7,0.16133,0.1558,544.0486,543.6415,543.2344,
2026-07-19T08:45:52,R_100,543.87,543.862,543.6580000000001,62.42,0.15754,0.15615,544.0744,543.658,543.2416,
2026-07-19T08:45:52,R_100,543.86,543.862,543.6715,58.09,0.15198,0.15532,544.096,543.6715,543.247,
2026-07-19T08:45:52,R_100,543.84,543.856,543.6975,61.72,0.14429,0.15311,544.0942,543.6975,543.3008,
2026-07-19T08:45:52,R_100,543.89,543.876,543.721,74.34,0.14062,0.15061,544.1039,543.721,543.3381,
2026-07-19T08:45:52,R_100,543.93,543.8779999999999,543.739,74.11,0.13932,0.14836,544.1258,543.739,543.3522,
2026-07-19T08:45:52,R_100,543.91,543.886,543.7584999999999,65.93,0.13513,0.14571,544.1381,543.7585,543.3789,
2026-07-19T08:45:52,R_100,544.05,543.924,543.7859999999998,66.67,0.14147,0.14486,544.1664,543.786,543.4056,
2026-07-19T08:45:52,R_100,544.15,543.986,543.8114999999999,69.31,0.1528,0.14645,544.2182,543.8115,543.4048,
2026-07-19T08:45:52,R_100,544.19,544.046,543.8439999999999,62.2,0.16313,0.14979,544.263,543.844,543.425,
2026-07-19T08:45:52,R_100,544.18,544.096,543.8860000000001,68.0,0.16856,0.15354,544.2581,543.886,543.5139,
2026-07-19T08:45:52,R_100,544.08,544.1299999999999,543.9205,63.75,0.16292,0.15542,544.2198,543.9205,543.6212,
2026-07-19T08:45:52,R_100,544.36,544.192,543.9575000000001,72.9,0.17899,0.16013,544.2823,543.9575,543.6327,
2026-07-19T08:45:52,R_100,544.5,544.262,543.9955000000001,81.42,0.2007,0.16824,544.3846,543.9955,543.6064,
2026-07-19T08:45:52,R_100,544.14,544.252,544.0145,58.09,0.1867,0.17194,544.3921,544.0145,543.6369,
2026-07-19T08:45:52,R_100,544.21,544.258,544.0255000000001,62.32,0.1792,0.17339,544.4128,544.0255,543.6382,
2026-07-19T08:45:52,R_100,544.15,544.272,544.0375000000001,60.14,0.16648,0.17201,544.4246,544.0375,543.6504,
2026-07-19T08:45:52,R_100,544.2,544.24,544.0545,62.33,0.15862,0.16933,544.4386,544.0545,543.6704,
2026-07-19T08:45:52,R_100,544.25,544.1899999999999,544.0735,62.33,0.15463,0.16639,544.4568,544.0735,543.6902,
2026-07-19T08:45:52,R_100,544.29,544.22,544.0984999999998,62.33,0.15294,0.1637,544.4689,544.0985,543.7281,
2026-07-19T08:45:52,R_100,544.17,544.212,544.111,58.33,0.1403,0.15902,544.4729,544.111,543.7491,
2026-07-19T08:45:52,R_100,544.27,544.236,544.1310000000001,57.24,0.13678,0.15457,544.4808,544.131,543.7812,
2026-07-19T08:45:52,R_100,544.52,544.3,544.164,61.08,0.1524,0.15414,544.5303,544.164,543.7977,
